"Main ID","Incident ID","Incident Type","Region of Incident","Incident Date","Incident Year",Month,"Number of Dead","Minimum Estimated Number of Missing","Total Number of Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Country of Origin","Region of Origin","Cause of Death","Country of Incident","Migration Route","Location of Incident",Coordinates,"UNSD Geographical Grouping","Information Source",URL,"Source Quality"
2019.MMP00128,2019.MMP00128,Incident,"Western Africa",2019-01-30,2019,January,6,0,6,1,,1,,Unknown,"Sub-Saharan Africa (P)",Violence,"Burkina Faso","Sahara Desert crossing","Arbinda, Burkina Faso","14.219108, -0.864079","Western Africa","Mixed Migration Monitoring Mechanism Initiative (4Mi)",http://www.mixedmigration.org/4mi/,2
2019.MMP00129,2019.MMP00129,Incident,"Western Africa",2019-01-31,2019,January,2,0,2,,,2,,Unknown,"Sub-Saharan Africa (P)","Sickness / lack of access to adequate healthcare",Mali,,"Sikasso, Mali","11.349313, -5.665146","Western Africa","Mixed Migration Monitoring Mechanism Initiative (4Mi)",http://www.mixedmigration.org/4mi/,2
2019.MMP00130,2019.MMP00130,Incident,"Western Africa",2019-01-31,2019,January,2,0,2,,,2,,Unknown,"Sub-Saharan Africa (P)","Sickness / lack of access to adequate healthcare",Mali,,"Bamako, Mali","12.699137, -8.023181","Western Africa","Mixed Migration Monitoring Mechanism Initiative (4Mi)",http://www.mixedmigration.org/4mi/,2
2019.MMP00131,2019.MMP00131,Incident,"Western Africa",2019-01-31,2019,January,1,0,1,1,,,,Unknown,"Sub-Saharan Africa (P)","Mixed or unknown","Burkina Faso",,"Bobo-Dioulasso, Burkina Faso","11.127705, -4.316257","Western Africa","Mixed Migration Monitoring Mechanism Initiative (4Mi)",http://www.mixedmigration.org/4mi/,2
2019.MMP00132,2019.MMP00132,Incident,"North America",2019-02-01,2019,February,1,0,1,,,1,,"El Salvador","Central America",Drowning,"United States of America","US-Mexico border crossing","Rio Bravo, near McAllen, Hidalgo County, Texas, USA","26.082034155, -98.258656088","Northern America","La Prensa Gráfica, Telemundo Noticias",https://tlmdo.co/2CxHqJM,3
2019.MMP00133,2019.MMP00133,Incident,Europe,2019-02-01,2019,February,,4,4,8,,,,Iraq,"Western Asia",Drowning,Greece,,"Evros/Meriç river, Greece, near border with Türkiye","40.943359495, 26.346705112","Southern Europe","Arab News, Ekathimerini ",https://bit.ly/2D8JdEE,3
2019.MMP00134,2019.MMP00134,Incident,"Western Africa",2019-02-01,2019,February,3,0,3,,,1,,Unknown,"Sub-Saharan Africa (P)","Vehicle accident / death linked to hazardous transport",Mali,,"Zegoua, Mali","10.495701, -5.645127","Western Africa","Mixed Migration Monitoring Mechanism Initiative (4Mi)",http://www.mixedmigration.org/4mi/,2
2019.MMP00135,2019.MMP00135,Incident,"Western Africa",2019-02-02,2019,February,1,0,1,1,,,,Unknown,"Sub-Saharan Africa (P)","Sickness / lack of access to adequate healthcare","Burkina Faso",,"Fada, Burkina Faso","12.051544, 0.372453","Western Africa","Mixed Migration Monitoring Mechanism Initiative (4Mi)",http://www.mixedmigration.org/4mi/,2
2019.MMP00136,2019.MMP00136,Incident,"Western Africa",2019-02-02,2019,February,6,0,6,1,,,,Unknown,"Sub-Saharan Africa (P)","Mixed or unknown",Niger,"Sahara Desert crossing","Agadez, Niger","17.012219, 7.981361","Western Africa","Mixed Migration Monitoring Mechanism Initiative (4Mi)",http://www.mixedmigration.org/4mi/,2
2019.MMP00137,2019.MMP00137,Incident,"Western Africa",2019-02-02,2019,February,13,0,13,1,,,,Unknown,"Sub-Saharan Africa (P)","Mixed or unknown",Mali,"Sahara Desert crossing","Gao, Mali","16.230954, -0.019296","Western Africa","Mixed Migration Monitoring Mechanism Initiative (4Mi)",http://www.mixedmigration.org/4mi/,2
2019.MMP00138,2019.MMP00138,Incident,Caribbean,2019-02-02,2019,February,31,0,31,18,,,,Haiti,Caribbean,Drowning,Bahamas,,"Off the coast of Marsh Harbour, Abaco Island, Bahamas","26.510686693, -76.937172306",Caribbean,"Associated Press",https://hrld.us/2MUeSOr,5
2019.MMP00139,2019.MMP00139,"Cumulative Incident","Northern Africa",2019-02-05,2019,February,8,0,8,,,,,Unknown,"Sub-Saharan Africa (P)","Harsh environmental conditions / lack of adequate shelter, food, water",Morocco,,"Near Osfour mountain range, on the Morocco-Algeria border, near Oujda, Morocco","34.667391957, -1.812885234","Northern Africa","Alarm Phone Sahara",https://www.facebook.com/AlarmePHONESahara/posts/1998083073834939 https://bit.ly/2Prlsx5,4
